drugmort,aamort,chmort,infmort,physdistr,mentdistr,diabetic,hiv,foodins,healthyfood,mvmort,sleep,uninsure,chuninsure,healthcost,othpcp,disconyouth,houseincome,freelunch,segbw,segnww,homicide,firearm,under18,over65,aframer,amerindian,asian,hawaiin,hispanic,nonhispanicw,nonenglish,female,rural,lifelost,fairhealth,unhdays,mentunhdeays,lowbirth,smokers,obese,foodindex,physinactive,accessexercise,excdrinking,alcoholdrive,chlamydia,teenbirth,uninsureunder65,prevhospital,hba1c,mammogram,graduation,somecollege,laborforce,unemployed,chpoverty,chpovertyb,chpovertyhis,chpovertyw,X80income,X20income,singparent,socialassoc,violcrime,severehous,commute,new_pcp_ratio,new_mhp_ratio,new_othpcp_ratio,new_dent_ratio
2.197224577,6.29710932,4.564348191,2.302585093,2.63905733,2.63905733,15,69,15,4,3.401197382,3.555348061,20,4,9.269646478,50,14,10.60164715,60,47,27,1.386294361,2.995732274,21.5,2.944438979,3.5,1.6,0.5,0.1,2.9,89.2,0.5,50.8,77,9.386727689,2.944438979,1.458615023,4.5,2.197224577,19,32,7.5,31,37,13,21,5.703782475,50,16,4.343805422,88,52.8,92,43.8,23512,6.6,27,68,71,22,74092,9.663007082,3.36729583,9.1,5.888877958,2.197224577,37,1699,7.776115477,7.608870629,7.976595409
3.091042453,6.184148891,4.49980967,2.397895273,2.48490665,2.564949357,13,623,20,11,2.772588722,3.713572067,16,3,9.158520623,97,16,10.78756496,47,66,62,2.708050201,3.044522438,23.1,2.681021529,42.7,0.3,1.6,0.1,3.8,50.6,1.4,52.8,9.8,9.240481529,2.944438979,1.30833282,4,2.397895273,19,33,5.7,26,78,14,14,6.638567789,42,13,3.737669618,86,66.3,89,67.2,309229,5.8,26,42,49,10,97526,9.780415555,3.761200116,14.7,6.680854679,2.890371758,32,939,6.612041035,6.942156706,7.092573716
1.791759469,6.047372179,4.043051268,2.079441542,2.564949357,2.63905733,14,68,16,6,2.772588722,3.610917913,17,4,9.144200569,67,11,10.66914142,50,49,47,1.791759469,2.48490665,20.3,2.928523524,10.2,0.5,0.9,0.1,2.5,84.7,0.6,52.1,49.3,9.079434102,2.890371758,1.435084525,4.5,2.302585093,18,33,7,28,63,14,31,6.061456919,29,14,4.158883083,87,65.6,95,58.6,42714,6.9,24,47,49,21,83734,9.750044955,3.465735903,14.8,5.590986981,2.564949357,29,1900,6.682108597,7.308542798,7.607381426
2.397895273,6.295266001,4.158883083,2.079441542,2.63905733,2.63905733,16,84,15,2,3.401197382,3.583518938,20,5,9.227787286,33,19,10.6399576,62,67,34,1.791759469,2.833213344,21.6,2.856470206,11.1,5.8,0.2,0,2.2,76.4,0.2,51.3,91.3,9.274722631,3.044522438,1.504077397,4.6,2.197224577,20,36,7.6,36,49,13,23,5.774551546,50,16,4.304065093,88,59.3,92,50.6,13864,7.7,26,25,48,24,82194,9.740027003,3.63758616,14.3,5.575949103,2.48490665,49,4185,6.97354302,8.009695358,9.714624648
2.079441542,6.047372179,4.204692619,1.791759469,2.63905733,2.63905733,10,175,18,11,2.48490665,3.63758616,17,4,9.055205875,41,7,10.7459595,47,30,29,1.791759469,2.63905733,21.5,2.360854001,23.5,0.4,3.4,0.1,3.9,67.5,1.6,50.8,27.4,8.98168164,2.944438979,1.504077397,4.4,2.079441542,19,29,6,23,63,16,32,6.184148891,22,13,3.737669618,85,60.4,90,70.4,71548,5.1,21,43,42,15,94105,9.606764735,3.555348061,8.9,5.616771098,2.944438979,27,2085,7.245655068,7.805067044,8.135346949
1.386294361,5.902633333,4.007333185,1.945910149,2.48490665,2.48490665,13,152,14,4,2.944438979,3.583518938,19,4,9.224243277,39,21,10.91617878,46,40,35,1.386294361,2.564949357,23.2,2.653241965,13.2,0.8,1.5,0.2,6.1,76.8,1.4,49.7,57.6,8.881141619,2.890371758,1.386294361,4.1,2.302585093,18,33,7.7,31,53,14,28,5.669880923,34,14,4.158883083,88,66.8,93,55,39607,5.5,19,16,53,13,102717,9.925738161,3.33220451,9.1,4.96284463,2.48490665,39,2929,7.814803429,7.842278779,8.207129168
2.079441542,5.888877958,4.17438727,2.079441542,2.48490665,2.48490665,12,223,16,8,2.48490665,3.63758616,16,4,9.189423124,79,12,10.98727381,34,50,44,1.791759469,2.63905733,22.3,2.646174797,24.3,0.8,2.7,0.1,4.8,65.2,1.3,51.2,16.4,8.92691589,2.772588722,1.335001067,3.8,2.302585093,17,32,6.9,23,82,14,21,6.415096959,28,13,3.850147602,88,68,92,72.6,169738,5.5,19,37,39,9,117677,10.05466238,3.465735903,11,6.369900983,2.48490665,24,1137,6.800170068,7.146772179,7.511524648
3.044522438,6.244166901,4.219507705,2.079441542,2.63905733,2.63905733,13,113,13,7,3.091042453,3.555348061,25,5,9.285818833,41,21,10.61149871,54,66,29,1.098612289,2.708050201,24.5,2.809402695,2.3,1.1,0.8,0.2,13,81.9,4.8,50.8,53.3,9.305013986,3.091042453,1.547562509,4.6,2.079441542,19,33,7.5,29,65,14,29,5.438079309,58,19,4.262679877,84,56.7,92,47.4,40348,5.8,33,53,58,25,82942,9.752432078,3.555348061,9.5,5.356586275,2.63905733,29,1690,6.131226489,7.795234929,8.126518169
2.708050201,6.188264123,4.418840608,2.197224577,2.63905733,2.63905733,16,523,20,11,2.890371758,3.688879454,19,4,9.196241448,74,18,10.65796499,49,57,52,2.564949357,3.044522438,23.9,2.701361213,35.2,1,2.1,0.1,2.8,57.6,0.8,52.2,20,9.229946902,3.044522438,1.504077397,4.5,2.48490665,22,37,5.7,28,69,15,38,6.656726524,50,15,4.143134726,83,62.1,86,59.4,183097,7,27,44,23,15,88398,9.73660618,3.784189634,11.6,6.309918278,2.890371758,34,1499,7.190676034,7.207118856,7.628517627
1.791759469,6.139884552,4.465908119,2.302585093,2.708050201,2.63905733,14,790,23,11,2.48490665,3.688879454,18,3,9.11007795,90,17,10.66115763,53,51,49,2.833213344,3.17805383,23.9,2.617395833,56.5,0.3,2.8,0.1,3.4,35.9,1.7,52.6,10.5,9.181632208,3.135494216,1.568615918,4.5,2.48490665,21,35,5,27,76,13,39,7.134093721,47,14,3.80666249,84,63.1,79,61.3,103579,6.2,34,43,57,9,92273,9.732046587,3.951243719,15.1,6.011267174,2.944438979,18,1087,6.833031733,7.017506143,7.300472814
2.772588722,6.086774727,4.356708827,2.197224577,2.564949357,2.564949357,13,112,14,4,2.772588722,3.583518938,21,5,9.209339872,54,17,10.76286925,47,54,45,1.386294361,2.708050201,23,2.791165108,12.3,1.1,0.8,0.1,8,76.3,2.3,50.7,38.6,9.151014906,2.944438979,1.410986974,4.4,2.197224577,19,32,7.6,29,71,13,26,5.924255797,45,16,4.189654742,85,62.8,91,53.8,55106,5.8,24,44,52,15,90389,9.872461174,3.496507561,12.5,5.257495372,2.564949357,37,1840,6.728628613,7.516977225,7.614312146
2.397895273,6.124683391,4.394449155,2.197224577,2.63905733,2.63905733,13,353,21,8,3.218875825,3.737669618,19,4,9.171599544,12,21,10.49471274,66,43,41,2.302585093,2.995732274,25.7,2.541601993,42.7,0.6,0.9,0.3,5.3,48.3,0.8,51.3,35.4,9.094705028,3.17805383,1.526056303,4.7,2.302585093,22,36,5.7,31,72,14,21,6.66440902,48,15,3.80666249,78,57.7,84,63.3,24283,6,36,40,34,22,78733,9.690851108,3.828641396,9.1,6.089044875,2.833213344,36,4258,7.951911382,9.050523671,8.799209242
3.36729583,6.171700597,4.094344562,2.079441542,2.48490665,2.564949357,13,92,13,1,3.091042453,3.583518938,17,4,9.263975921,30,20,10.88852046,52,30,26,1.609437912,2.833213344,22.9,2.766319109,9.5,0.4,0.8,0.1,2.3,85.7,0.7,50.1,72.8,9.234252192,2.833213344,1.410986974,4.3,2.079441542,18,33,8.1,27,68,14,35,5.476463552,42,13,4.317488114,87,58.2,90,53.1,38172,5.2,18,37,39,20,92259,9.976087245,3.401197382,8.9,5.170483995,2.48490665,52,4817,8.976641307,8.116417073,8.15564927
2.890371758,5.690359454,3.871201011,1.791759469,2.302585093,2.397895273,9,84,11,4,2.397895273,3.526360525,13,4,9.196849782,32,8,11.16872948,31,28,23,1.386294361,2.48490665,24.1,2.602689685,12.3,0.4,2.2,0,5.8,78.2,1.8,51.4,22.9,8.726967775,2.63905733,1.223775432,3.7,2.079441542,14,30,8.4,22,73,15,21,5.323009979,20,11,3.850147602,86,69.2,95,74,106491,4.2,10,13,44,6,126180,10.32839575,2.995732274,10.7,5.192956851,2.397895273,47,1223,7.503840747,8.058960018,7.623641947
2.397895273,6.326149473,4.189654742,2.564949357,2.708050201,2.708050201,15,221,20,6,3.258096538,3.688879454,17,3,9.264449698,36,27,10.54299659,68,32,31,2.302585093,3.044522438,21.9,2.809402695,32.3,0.4,0.6,0,2.3,63.1,0.6,51.6,55.8,9.324115386,3.17805383,1.547562509,4.7,2.48490665,22,39,6.2,34,66,13,32,6.54534966,44,13,4.276666119,83,57.7,93,47.1,35169,6.6,31,53,51,25,75377,9.595466709,3.80666249,12.1,5.910796644,2.772588722,32,3012,9.508739808,7.933079772,8.256088134
2.63905733,6.063785209,4.219507705,2.397895273,2.564949357,2.63905733,12,243,18,7,2.708050201,3.63758616,15,3,9.213136459,66,11,10.7762025,51,54,51,1.791759469,2.564949357,20.9,2.48490665,31.1,0.3,1.5,0.1,3.3,62.7,1,51.9,25.5,9.022322623,2.995732274,1.504077397,4.5,2.397895273,20,34,6.4,26,76,15,31,6.613384218,28,12,4.219507705,85,71.2,85,62.5,98051,5.5,25,45,36,11,93349,9.794342105,3.663561646,12.3,6.02827852,2.890371758,23,1376,6.792344427,7.320526962,7.640603826
3.401197382,6.523562306,4.430816799,2.302585093,2.63905733,2.708050201,17,124,16,4,3.36729583,3.688879454,19,4,9.276783329,55,26,10.52688264,59,45,36,1.791759469,2.890371758,22,2.917770732,6.3,0.5,0.5,0.1,2.4,89.2,0.7,51.4,74.1,9.585208806,3.091042453,1.589235205,5,2.302585093,21,33,7.2,31,48,12,21,6.107022888,55,15,4.248495242,89,62.5,91,52.6,25476,7.2,31,50,58,28,75463,9.650013651,3.610917913,14.1,6.02827852,2.397895273,40,2182,7.828436359,7.503289631,7.790696031
2.890371758,5.840641657,4.025351691,1.609437912,2.197224577,2.302585093,7,158,13,5,1.945910149,3.465735903,19,11,8.829079953,162,12,11.26178102,44,38,29,1.791759469,2.833213344,24.8,2.240709689,5.6,8.3,9.6,2.4,9.1,59,2.3,48.6,4.1,8.876125585,2.564949357,1.223775432,3.3,1.791759469,15,27,7.8,17,89,23,26,6.7310181,33,17,3.295836866,78,56.7,80,70.3,158216,5,12,25,14,5,141916,10.5378662,3.465735903,11.3,6.728628613,2.833213344,15,965,5.799092654,6.426488457,6.766191715
2.564949357,5.743003188,4.17438727,1.386294361,2.197224577,2.197224577,6,76,13,10,2.302585093,3.465735903,19,12,8.726643416,139,10,11.16875769,26,56,31,1.609437912,2.944438979,24.2,2.128231706,5.2,7.2,3.2,0.6,8,70.6,0.7,45.6,30.9,8.795430805,2.397895273,1.131402111,3.1,1.791759469,16,28,7.1,18,65,23,38,6.612041035,33,17,2.890371758,78,58,70,73.1,46486,5.4,10,2,10,8,129166,10.42720966,3.401197382,10.3,6.462249121,3.135494216,14,1290,5.272999559,6.582025139,6.688354714
2.995732274,5.726847748,3.63758616,1.386294361,2.197224577,2.197224577,6,67,11,6,1.609437912,3.33220451,20,11,8.8164085,89,9,11.32529383,30,31,27,1.704748092,2.48490665,22,2.397895273,1.3,11.9,6.5,1.2,6.5,65.3,1.3,48.9,21.5,8.669914278,2.397895273,1.193922468,3.2,1.609437912,16,29,8,14,100,22,50,6.163314804,23,17,3.36729583,77,60.6,77,75.1,17308,4.6,10,25,19,4,140078,10.67030332,3.496507561,18.5,6.098074282,2.708050201,5,926,5.247024072,7.029972912,6.870053412
2.995732274,5.837730447,3.891820298,1.386294361,2.302585093,2.302585093,7,55,13,6,2.48490665,3.36729583,24,12,8.919720656,102,17,11.03529281,31,36,19,1.098612289,3.295836866,23,2.694627181,0.7,7.5,1.4,0.3,4.2,80.8,0.6,47.3,79.3,8.909505513,2.564949357,1.30833282,3.3,1.386294361,18,28,7.6,20,59,21,22,5.940171253,27,21,3.663561646,77,56,82,60.2,27486,7.8,14,25,22,9,117428,10.14517804,3.258096538,15.7,6.462249121,2.995732274,16,1277,6.551080335,6.891625897,7.358193753
2.708050201,5.826000107,3.713572067,1.386294361,2.302585093,2.302585093,8,37,13,6,2.397895273,3.465735903,22,10,8.857657449,63,21,11.24636541,34,57,14,1.791759469,2.944438979,27.1,2.292534757,1.2,6.6,1.5,0.4,4.8,79.8,0.6,47.3,50.3,8.861491864,2.63905733,1.280933845,3.3,1.791759469,17,30,7.7,20,38,20,31,6.035481433,29,19,3.737669618,82,57.6,78,60.4,44865,7.8,12,30,7,12,126363,10.35370293,3.17805383,8.5,6.462249121,2.995732274,42,2083,6.787844982,7.365180126,7.652545693
